Work Counter,ts_begin,ts_end,Work Intensity,Exercise Counter,ts,Exercise Type,Exercise Intensity,Exercise Duration,Exercise Competitive
1.0,2021-11-18 07:52:00,2021-11-18 17:55:00,3.0,,,,,,
2.0,2021-11-19 07:45:00,2021-11-19 17:22:00,4.0,,,,,,
3.0,2021-11-23 07:50:00,2021-11-23 17:26:00,4.0,,,,,,
4.0,2021-11-24 07:46:00,2021-11-24 17:34:00,5.0,,,,,,
5.0,2021-11-25 07:17:00,2021-11-25 19:22:00,6.0,,,,,,
6.0,2021-11-26 07:46:00,2021-11-26 19:26:00,5.0,,,,,,
7.0,2021-11-29 07:45:00,2021-11-29 17:50:00,4.0,,,,,,
8.0,2021-11-30 07:45:00,2021-11-30 17:27:00,3.0,,,,,,
9.0,2021-12-01 07:50:00,2021-12-01 18:10:00,3.0,,,,,,
10.0,2021-12-03 07:54:00,2021-12-03 19:08:00,4.0,,,,,,
11.0,2021-12-06 07:54:00,2021-12-06 17:05:00,2.0,,,,,,
12.0,2021-12-08 08:12:00,2021-12-08 19:42:00,5.0,,,,,,
13.0,2021-12-09 07:58:00,2021-12-09 17:33:00,5.0,,,,,,
14.0,2021-12-10 07:55:00,2021-12-10 18:25:00,4.0,,,,,,
15.0,2021-12-14 08:04:00,2021-12-14 18:35:00,4.0,,,,,,
16.0,2021-12-15 07:43:00,2021-12-15 17:08:00,4.0,,,,,,
17.0,2021-12-16 07:47:00,2021-12-16 18:32:00,4.0,,,,,,
18.0,2021-12-17 08:11:00,2021-12-17 18:12:00,4.0,,,,,,
19.0,2021-12-28 07:09:00,2021-12-28 17:46:00,3.0,,,,,,
20.0,2021-12-29 07:57:00,2021-12-29 19:25:00,6.0,,,,,,
21.0,2021-12-30 07:50:00,2021-12-30 18:25:00,6.0,,,,,,
22.0,2021-12-31 07:25:00,2021-12-31 18:10:00,5.0,,,,,,
,,,,1.0,2021-11-17 12:20, ,6,2,
,,,,2.0,2021-12-12 16:05, ,6,140,
,,,,3.0,2021-12-18 15:45, ,7,45,
,,,,4.0,2021-12-20 20:10, ,5,25,
,,,,5.0,2021-12-21 13:35, ,4,70,
