Exercise Counter,ts,Exercise Type,Exercise Intensity,Exercise Duration,Exercise Competitive
1,2027-04-07 13:25, ,5,117,
2,2027-04-07 15:43, ,5,0,
3,2027-04-08 09:13, ,3,39,
4,2027-04-09 09:03, ,3,178,
5,2027-04-11 07:45, ,6,45,
6,2027-04-14 08:38, ,3,61,
7,2027-04-14 12:12, ,5,108,
8,2027-04-15 07:35, ,5,54,
9,2027-04-15 13:15, ,3,48,
10,2027-04-17 12:21, ,5,121,
11,2027-04-19 12:22, ,7,79,
12,2027-04-20 08:00, ,5,198,
13,2027-04-21 07:58, ,5,301,
14,2027-04-22 13:16, ,5,64,
15,2027-04-23 07:25, ,5,60,
16,2027-04-23 08:20, ,5,38,
17,2027-04-25 11:43, ,5,73,
18,2027-04-26 09:40, ,6,154,
19,2027-04-27 13:42, ,6,120,
20,2027-04-28 10:23, ,3,57,
21,2027-04-30 08:20, ,6,190,
22,2027-05-01 08:35, ,6,175,
23,2027-05-02 14:00, ,3,60,
24,2027-05-02 18:37, ,5,23,
25,2027-05-03 09:01, ,3,71,
26,2027-05-04 15:20, ,3,61,
27,2027-05-05 12:00, ,6,161,
28,2027-05-06 09:30, ,6,150,
29,2027-05-06 12:15, ,6,61,
30,2027-05-07 11:15, ,6,165,
31,2027-05-08 09:57, ,6,138,
32,2027-05-09 08:15, ,5,75,
33,2027-05-10 09:05, ,3,117,
34,2027-05-11 08:30, ,5,69,
35,2027-05-11 10:02, ,6,88,
36,2027-05-13 08:47, ,6,163,
37,2027-05-14 08:25, ,6,215,
38,2027-05-15 10:00, ,3,60,
39,2027-05-16 13:00, ,3,63,
40,2027-05-17 09:00, ,6,195,
41,2027-05-18 09:02, ,6,178,
42,2027-05-19 09:20, ,4,60,
43,2027-05-20 08:51, ,3,180,
44,2027-05-22 09:12, ,6,74,
45,2027-05-24 09:00, ,5,70,
46,2027-05-25 08:45, ,5,49,
