Work Counter,ts_begin,ts_end,Work Intensity,Exercise Counter,ts,Exercise Type,Exercise Intensity,Exercise Duration,Exercise Competitive
1.0,2021-12-08 05:20:00,2021-12-08 15:48:00,1.0,,,,,,
2.0,2021-12-09 05:27:00,2021-12-09 15:50:00,2.0,,,,,,
3.0,2021-12-10 05:13:00,2021-12-10 13:06:00,2.0,,,,,,
4.0,2021-12-13 05:21:00,2021-12-13 15:10:00,2.0,,,,,,
5.0,2021-12-14 05:17:00,2021-12-14 14:57:00,1.0,,,,,,
6.0,2021-12-15 05:32:00,2021-12-15 16:00:00,3.0,,,,,,
7.0,2021-12-16 05:17:00,2021-12-16 15:35:00,2.0,,,,,,
8.0,2021-12-21 05:19:00,2021-12-21 15:38:00,2.0,,,,,,
9.0,2021-12-22 05:15:00,2021-12-22 13:35:00,1.0,,,,,,
10.0,2021-12-23 05:25:00,2021-12-23 15:14:00,1.0,,,,,,
11.0,2021-12-28 05:15:00,2021-12-28 15:48:00,2.0,,,,,,
12.0,2021-12-31 05:26:00,2021-12-31 14:36:00,2.0,,,,,,
13.0,2022-01-03 05:17:00,2022-01-03 15:44:00,2.0,,,,,,
14.0,2022-01-04 05:05:00,2022-01-04 16:01:00,2.0,,,,,,
15.0,2022-01-05 05:18:00,2022-01-05 15:43:00,2.0,,,,,,
16.0,2022-01-06 05:35:00,2022-01-06 15:58:00,2.0,,,,,,
17.0,2022-01-10 05:26:00,2022-01-10 16:08:00,2.0,,,,,,
18.0,2022-01-11 05:08:00,2022-01-11 15:42:00,2.0,,,,,,
19.0,2022-01-12 05:27:00,2022-01-12 15:53:00,2.0,,,,,,
20.0,2022-01-13 05:15:00,2022-01-13 15:45:00,1.0,,,,,,
21.0,2022-01-14 05:33:00,2022-01-14 16:00:00,2.0,,,,,,
,,,,1.0,2021-12-10 15:01, ,5,62,
,,,,2.0,2021-12-11 15:01, ,5,224,
,,,,3.0,2021-12-12 10:30, ,5,69,
,,,,4.0,2021-12-15 11:30, ,3,44,
,,,,5.0,2021-12-17 09:13, ,6,179,
,,,,6.0,2021-12-17 13:00, ,6,320,
,,,,7.0,2021-12-18 10:10, ,6,65,
,,,,8.0,2021-12-18 13:30, ,6,225,
,,,,9.0,2021-12-19 10:15, ,5,196,
,,,,10.0,2021-12-19 13:30, ,5,50,
,,,,11.0,2021-12-20 09:15, ,6,355,
,,,,12.0,2021-12-24 09:30, ,4,170,
,,,,13.0,2021-12-25 11:45, ,5,69,
,,,,14.0,2021-12-25 13:30, ,5,265,
,,,,15.0,2021-12-26 11:30, ,5,244,
,,,,16.0,2021-12-27 09:50, ,4,100,
,,,,17.0,2021-12-30 13:06, ,6,101,
,,,,18.0,2021-12-31 18:10, ,5,130,
,,,,19.0,2022-01-02 09:49, ,4,251,
,,,,20.0,2022-01-07 18:00, ,5,169,
,,,,21.0,2022-01-08 09:06, ,5,534,
,,,,22.0,2022-01-09 10:07, ,5,613,
,,,,23.0,2022-01-12 11:45, ,3,36,
,,,,24.0,2022-01-13 18:05, ,5,125,
,,,,25.0,2022-01-15 10:12, ,4,228,
