Work Counter,ts_begin,ts_end,Work Intensity,Exercise Counter,ts,Exercise Type,Exercise Intensity,Exercise Duration,Exercise Competitive
1.0,2021-08-30 12:27:00,2021-08-30 17:27:00,4.0,,,,,,
2.0,2021-08-31 08:14:00,2021-08-31 17:15:00,4.0,,,,,,
3.0,2021-09-01 07:15:00,2021-09-01 17:34:00,5.0,,,,,,
4.0,2021-09-02 07:54:00,2021-09-02 16:50:00,4.0,,,,,,
5.0,2021-09-03 07:15:00,2021-09-03 16:42:00,4.0,,,,,,
6.0,2021-09-06 07:36:00,2021-09-06 17:27:00,5.0,,,,,,
7.0,2021-09-07 07:52:00,2021-09-07 17:45:00,5.0,,,,,,
8.0,2021-09-08 07:35:00,2021-09-08 17:00:00,5.0,,,,,,
9.0,2021-09-09 08:10:00,2021-09-09 17:50:00,5.0,,,,,,
10.0,2021-09-10 07:38:00,2021-09-10 16:10:00,4.0,,,,,,
11.0,2021-09-13 07:35:00,2021-09-13 17:09:00,4.0,,,,,,
12.0,2021-09-14 08:00:00,2021-09-14 18:15:00,5.0,,,,,,
13.0,2021-09-15 07:15:00,2021-09-15 17:13:00,5.0,,,,,,
14.0,2021-09-16 07:55:00,2021-09-16 17:11:00,5.0,,,,,,
15.0,2021-09-17 07:57:00,2021-09-17 16:36:00,4.0,,,,,,
16.0,2021-09-20 08:00:00,2021-09-20 13:45:00,4.0,,,,,,
17.0,2021-09-21 08:06:00,2021-09-21 17:15:00,5.0,,,,,,
18.0,2021-09-22 10:04:00,2021-09-22 17:39:00,6.0,,,,,,
19.0,2021-09-23 07:53:00,2021-09-23 17:52:00,5.0,,,,,,
20.0,2021-09-24 07:53:00,2021-09-24 16:58:00,5.0,,,,,,
21.0,2021-09-25 08:00:00,2021-09-25 11:04:00,4.0,,,,,,
22.0,2021-09-27 07:50:00,2021-09-27 16:15:00,4.0,,,,,,
23.0,2021-09-28 07:50:00,2021-09-28 16:30:00,4.0,,,,,,
24.0,2021-09-29 07:34:00,2021-09-29 17:15:00,5.0,,,,,,
25.0,2021-09-30 08:10:00,2021-09-30 16:34:00,5.0,,,,,,
26.0,2021-10-01 07:29:00,2021-10-01 16:30:00,4.0,,,,,,
27.0,2021-10-04 08:26:00,2021-10-04 17:01:00,5.0,,,,,,
28.0,2021-10-05 08:11:00,2021-10-05 17:19:00,5.0,,,,,,
29.0,2021-10-06 07:38:00,2021-10-06 17:39:00,5.0,,,,,,
30.0,2021-10-07 08:07:00,2021-10-07 16:37:00,5.0,,,,,,
31.0,2021-10-08 08:21:00,2021-10-08 17:30:00,5.0,,,,,,
32.0,2021-10-11 07:50:00,2021-10-11 17:29:00,5.0,,,,,,
33.0,2021-10-12 08:07:00,2021-10-12 18:00:00,5.0,,,,,,
34.0,2021-10-13 07:10:00,2021-10-13 17:30:00,5.0,,,,,,
35.0,2021-10-14 08:06:00,2021-10-14 17:00:00,5.0,,,,,,
,,,,1.0,2021-08-30 18:48, ,5,36,
,,,,2.0,2021-08-31 19:35, ,5,32,
,,,,3.0,2021-09-01 19:47, ,5,31,
,,,,4.0,2021-09-02 19:18, ,5,32,
,,,,5.0,2021-09-03 18:09, ,5,37,
,,,,6.0,2021-09-04 19:22, ,5,35,
,,,,7.0,2021-09-05 19:08, ,5,31,
,,,,8.0,2021-09-06 20:04, ,6,43,
,,,,9.0,2021-09-07 20:05, ,5,36,
,,,,10.0,2021-09-08 19:13, ,4,27,
,,,,11.0,2021-09-09 20:06, ,5,28,
,,,,12.0,2021-09-10 19:12, ,5,31,
,,,,13.0,2021-09-11 20:12, ,6,31,
,,,,14.0,2021-09-12 18:30, ,6,31,
,,,,15.0,2021-09-13 19:42, ,6,31,
,,,,16.0,2021-09-14 20:10, ,5,34,
,,,,17.0,2021-09-15 19:12, ,6,30,
,,,,18.0,2021-09-16 19:05, ,6,16,
,,,,19.0,2021-09-18 19:17, ,5,57,
,,,,20.0,2021-09-19 19:13, ,6,32,
,,,,21.0,2021-09-22 19:35, ,6,30,
,,,,22.0,2021-09-23 19:41, ,6,26,
,,,,23.0,2021-09-24 19:25, ,6,33,
,,,,24.0,2021-09-27 19:15, ,5,37,
,,,,25.0,2021-09-28 18:30, ,5,40,
,,,,26.0,2021-09-29 19:05, ,5,46,
,,,,27.0,2021-09-30 19:16, ,5,44,
,,,,28.0,2021-10-01 19:20, ,5,37,
,,,,29.0,2021-10-04 18:24, ,5,36,
,,,,30.0,2021-10-05 19:21, ,5,43,
,,,,31.0,2021-10-06 19:32, ,5,55,
,,,,32.0,2021-10-07 18:17, ,5,41,
,,,,33.0,2021-10-08 19:28, ,5,45,
,,,,34.0,2021-10-11 18:35, ,5,35,
,,,,35.0,2021-10-13 19:46, ,5,37,
,,,,36.0,2021-10-14 18:50, ,5,55,
