Work Counter,ts_begin,ts_end,Work Intensity,Exercise Counter,ts,Exercise Type,Exercise Intensity,Exercise Duration,Exercise Competitive
1.0,2027-05-11 16:31:00,2027-05-11 16:31:00,3.0,,,,,,
2.0,2027-05-12 07:50:00,2027-05-12 17:00:00,3.0,,,,,,
3.0,2027-05-13 07:33:00,2027-05-13 16:28:00,4.0,,,,,,
4.0,2027-05-14 07:37:00,2027-05-14 16:09:00,5.0,,,,,,
5.0,2027-05-17 07:25:00,2027-05-17 16:55:00,5.0,,,,,,
6.0,2027-05-18 07:25:00,2027-05-18 16:37:00,4.0,,,,,,
7.0,2027-05-19 07:25:00,2027-05-19 16:18:00,5.0,,,,,,
8.0,2027-05-20 07:24:00,2027-05-20 16:09:00,3.0,,,,,,
9.0,2027-05-21 07:43:00,2027-05-21 16:20:00,2.0,,,,,,
10.0,2027-05-24 07:35:00,2027-05-24 15:36:00,3.0,,,,,,
11.0,2027-05-25 07:38:00,2027-05-25 16:20:00,3.0,,,,,,
12.0,2027-05-26 07:35:00,2027-05-26 17:32:00,3.0,,,,,,
13.0,2027-05-27 07:32:00,2027-05-27 16:25:00,2.0,,,,,,
14.0,2027-05-28 07:27:00,2027-05-28 16:20:00,3.0,,,,,,
15.0,2027-05-31 07:40:00,2027-05-31 16:40:00,2.0,,,,,,
16.0,2027-06-01 10:15:00,2027-06-01 18:05:00,3.0,,,,,,
17.0,2027-06-02 07:42:00,2027-06-02 15:49:00,3.0,,,,,,
18.0,2027-06-03 07:37:00,2027-06-03 16:10:00,2.0,,,,,,
19.0,2027-06-07 07:45:00,2027-06-07 17:45:00,3.0,,,,,,
20.0,2027-06-08 07:33:00,2027-06-08 16:30:00,3.0,,,,,,
21.0,2027-06-09 07:43:00,2027-06-09 16:44:00,3.0,,,,,,
22.0,2027-06-10 07:40:00,2027-06-10 17:10:00,4.0,,,,,,
23.0,2027-06-11 07:37:00,2027-06-11 16:10:00,3.0,,,,,,
24.0,2027-06-14 07:32:00,2027-06-14 15:20:00,4.0,,,,,,
25.0,2027-06-16 07:31:00,2027-06-16 16:55:00,4.0,,,,,,
26.0,2027-06-17 07:40:00,2027-06-17 15:35:00,3.0,,,,,,
27.0,2027-06-18 07:48:00,2027-06-18 14:32:00,3.0,,,,,,
28.0,2027-06-21 07:55:00,2027-06-21 15:40:00,3.0,,,,,,
29.0,2027-06-22 07:48:00,2027-06-22 15:41:00,4.0,,,,,,
30.0,2027-06-23 07:50:00,2027-06-23 15:10:00,3.0,,,,,,
,,,,1.0,2027-07-02 21:30, ,6,30,
,,,,2.0,2027-07-03 09:45, ,7,150,
