Work Counter,ts_begin,ts_end,Work Intensity,Exercise Counter,ts,Exercise Type,Exercise Intensity,Exercise Duration,Exercise Competitive
1.0,2021-09-14 06:45:00,2021-09-14 15:16:00,3.0,,,,,,
2.0,2021-09-15 06:27:00,2021-09-15 15:15:00,2.0,,,,,,
3.0,2021-09-16 06:50:00,2021-09-16 15:10:00,3.0,,,,,,
4.0,2021-09-22 06:50:00,2021-09-23 06:30:00,3.0,,,,,,
5.0,2021-09-24 06:37:00,2021-09-24 15:30:00,3.0,,,,,,
6.0,2021-09-27 06:42:00,2021-09-27 15:15:00,3.0,,,,,,
7.0,2021-09-30 06:30:00,2021-10-01 06:31:00,3.0,,,,,,
8.0,2021-10-04 06:33:00,2021-10-04 15:15:00,4.0,,,,,,
9.0,2021-10-05 06:30:00,2021-10-05 15:20:00,3.0,,,,,,
10.0,2021-10-06 06:52:00,2021-10-06 15:15:00,3.0,,,,,,
11.0,2021-10-08 06:36:00,2021-10-08 15:18:00,4.0,,,,,,
12.0,2021-10-11 06:23:00,2021-10-11 15:15:00,5.0,,,,,,
13.0,2021-10-12 06:35:00,2021-10-12 15:20:00,4.0,,,,,,
14.0,2021-10-13 06:30:00,2021-10-13 18:22:00,2.0,,,,,,
15.0,2021-10-14 10:00:00,2021-10-16 07:06:00,3.0,,,,,,
16.0,2021-10-18 06:30:00,2021-10-18 15:15:00,3.0,,,,,,
17.0,2021-10-19 06:30:00,2021-10-19 15:15:00,3.0,,,,,,
18.0,2021-10-20 06:31:00,2021-10-20 15:16:00,3.0,,,,,,
19.0,2021-10-21 06:28:00,2021-10-21 15:16:00,3.0,,,,,,
20.0,2021-10-25 06:30:00,2021-10-25 06:30:00,4.0,,,,,,
21.0,2021-10-26 06:30:00,2021-10-26 15:17:00,4.0,,,,,,
22.0,2021-10-27 06:32:00,2021-10-27 15:22:00,3.0,,,,,,
23.0,2021-10-28 06:30:00,2021-10-28 15:15:00,3.0,,,,,,
,,,,1.0,2021-09-13 11:00, ,8,0,
,,,,2.0,2021-09-15 17:18, ,3,112,
,,,,3.0,2021-09-18 09:30, ,3,285,
,,,,4.0,2021-09-20 16:46, ,6,89,
,,,,5.0,2021-09-23 16:10, ,5,80,
,,,,6.0,2021-09-26 13:39, ,3,51,
,,,,7.0,2021-09-27 18:00, ,3,76,
,,,,8.0,2021-09-29 19:10, ,5,70,
,,,,9.0,2021-10-02 07:45, ,6,55,
,,,,10.0,2021-10-03 14:00, ,3,259,
,,,,11.0,2021-10-04 17:00, ,5,80,
,,,,12.0,2021-10-06 17:00, ,4,50,
,,,,13.0,2021-10-09 12:30, ,5,150,
,,,,14.0,2021-10-10 16:00, ,4,20,
,,,,15.0,2021-10-16 08:40, ,6,260,
,,,,16.0,2021-10-17 07:30, ,6,300,
,,,,17.0,2021-10-25 16:30, ,5,60,
