Work Counter,ts_begin,ts_end,Work Intensity,Exercise Counter,ts,Exercise Type,Exercise Intensity,Exercise Duration,Exercise Competitive
1.0,2025-04-23 06:15:00,2025-04-23 16:00:00,3.0,,,,,,
2.0,2025-04-24 05:45:00,2025-04-24 15:36:00,2.0,,,,,,
3.0,2025-04-29 06:50:00,2025-04-29 16:30:00,2.0,,,,,,
4.0,2025-04-30 05:45:00,2025-04-30 15:30:00,2.0,,,,,,
5.0,2025-05-13 07:15:00,2025-05-13 15:40:00,2.0,,,,,,
6.0,2025-05-16 07:35:00,2025-05-16 15:35:00,1.0,,,,,,
,,,,1.0,2025-04-17 18:30, ,6,45,
,,,,2.0,2025-04-19 19:20, ,7,40,
,,,,3.0,2025-04-23 18:50, ,8,42,
,,,,4.0,2025-04-26 12:15, ,7,45,
,,,,5.0,2025-04-26 12:45, ,7,40,
,,,,6.0,2025-04-28 18:40, ,8,51,
,,,,7.0,2025-04-30 18:45, ,5,45,
,,,,8.0,2025-05-13 18:40, ,7,50,
,,,,9.0,2025-05-18 13:00, ,8,70,
,,,,10.0,2025-05-20 18:15, ,9,75,
